ID	Lab Parameter Name	Reference	Category	Sub Category	Details
15	Acetylcholine	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Function		The major neurotransmitter of: a) motoneurons (mediates impulse transfer from motoric nerve fibre to striated muscle), b) postganglionIc parasympathetic fibers, c) vegetative sympathetic and parasympathetic ganglia of nerve system, d) CNS cholinergic neurons (basal ganglia, motor cortex). ACH acts through muscarine (M) and nicotine (N) receptors. There are 5 types M receptors; M, receptors are localized on parasympathetic nerve endings. Their activation lead to IP3 and DAG production increase with subsequent intracellular Ca'+ level increase leading to gastrointestinal tract secretion and motility increase, as well as CNS excitation. M, receptors are in myocardium and smooth muscles. They decrease cAMP production and open K+ channels resulting in bradycardia, increased ureter and bladder peristalsis. M, receptors are in exocrine glands, smooth muscles and vascular endothelium. They cause bronchial smooth muscle and uterus contraction and bronchial, salivary, lacrimal, and sweat glands secretion increase by intracellular Ca'+ concentration increase. ACH acts on vessels directly with subsequent contraction (after high doses) and secondly indirectly with subsequent dilation (by EDRF release). M, and M, receptors are in CNS, their function is not clear yet. Nicotme NN receptors are localized at the vegetative ganglia level. Na+ and K+ channel openings are active effect mechanisms. Nicotine NM receptors are in skeletal muscles and mediate nerve-muscular transfer from motoric fibre onto skeletal muscle. Acetylcholine levels are regulated by the activity of choline acetyltransferase which hydrolyzes ACH to choline and acetate ion. Choline is back uptaken and enters with acetylcoenzyme A into ACH synthesis cycle.
16	Acetylcholine	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values		intoxication by - (mushrooms, snake venom, organophosphates), myasthenia gravis
17	Acetylcholine	Differential Diagnosis by Laboratory Medicine by Vincent Marks	decreased values		botulism
18	N-Acetyl-Beta-D-Glucosaminidase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	abbreviation		NAG
19	N-Acetyl-Beta-D-Glucosaminidase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	general details		Materials: serum, fibroblasts
20	N-Acetyl-Beta-D-Glucosaminidase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Test Purpose		1) diagnosis of acute tubular injury, 2) to monitor tubulopathies.
21	N-Acetyl-Beta-D-Glucosaminidase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values		acute tubular necrosis, chronic glomerulonephrosis, chronic pyelonephritis, renal allotransplant rejection, toxic renal injury - (poisons, medicaments)
22	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	synonyms		AP
23	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	synonyms		total ACP
24	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	abbreviation		AP
25	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	abbreviation		total ACP
26	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Function		Enzyme important in the absorption/metabolism of carbohydrates, nucleotides, phospholipids and in bone calcification. Involved in breakdown of own cellular compounds and cell invading compounds.
27	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Occurence		Prostate, liver, bones (bone marrow), milk, erythrocytes, leucocytes, spleen, thrombocytes, reticuloendothelial system, Iysosomes, kidney.
28	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Isoenzymes		Serum ACP activity is based on isoenzyme activity mixture that come from prostate (PAP), liver (reticuloendothelial system), bones, RBC, PLT. Isoenzyme PAP is not identical with tartrate-labile phosphatase. RBC and PLT isoenzymes have 200-times higher activity which results in increased values in thrombosis. Highest values are in PM, lowest in AM. Within-day concentrations variation is 25-50%, day-to-day variation 50-100%.
29	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	Test Purpose		1) parameter which aids in prostatic cancer diagnosis, 2) to monitor response prostate cancer therapy, 3) to help diagnose bone tumours and tumours metastasing into bones, 4) to help diagnose Gaucher's disease, 5) non-specific parameter in osteoporosis.
30	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values		benign prostate hyperplasia, bone metastases from - (prostate, mammary gland), acute/ chronic renal failure, colonoscopy, decreased blood flow to prostate, disease - (Gaucher's d., Niemann-Pick d., Paget's d.), diseases - (kidney d., biliary d., febrile d., bone d., hepatic d., reticuloendothelial system d., infectious d.), disseminated intravascular coagulation, embolism, excessive platelet destruction, hemolysis, cirrhosis - (hepatic c., cardiac c.), acute hepatitis - (type A, type B, type D, type E), hyperparathyroidism, myocardial infarction, megaloblastic anemia, obstructive jaundice, osteogenesis imperfecta, osteoporosis, polycythemia vera, pregnancy, primary thrombocythemia, prostate - (p. biopsy, p. infarction, p. massage, p. injury), prostatitis, renal insufficiency, renal osteopathy, sickle cell crisis, thromboembolic disease, idiopathic thrombocytopenic purpura, thrombosis, thrombophlebitis, transurethral prostatic resection, tumours - (bone t., chronic lymphatic leucemia, acute/chronic myeloid leucemia, myeloproliferative t., plasmocytoma - incl. multiple myeloma, t. of prostate, lung t., t. of breast), prostate calculus
31	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	increased values	Interfering Factors	children, medicaments - (androgens in women, clofibrate)
32	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	decreased values		castration, ethanol, hormonal therapy of prostate hyperplasia, oxalates
33	Acid Phosphatase	Differential Diagnosis by Laboratory Medicine by Vincent Marks	decreased values	Interfering Factors	medicaments - (fluorides, heparin)
34	Base	Differential Diagnosis by Laboratory Medicine by Vincent Marks	synonyms	Caustic Soda	Sodium Hydroxide
